"","category","name","reviewer","review","date","ratings"
"1","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Dr E Bliss","The item is:  Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets  item code 4664I feel compelled to review this item because my reading of some others’ reviews leads me to think that they were reviewing some other item.I needed a hard-backed A4 squared-ruled journal log-book; not too thick, and also robust enough to use daily without it becoming tatty.  This item, Leitz A4, 4664, bound pages – easily meets my need and is presentable; it looks good. For the price that I paid (£6.15) I was completely satisfied; it is easily worth the money.I like especially the grid-squared spacing (5 mm) and the paper quality (90 gsm) suits my fountain pen ink - so that there is no feathering. There is negligible soak-through of my fountain ink, so that my writing on one side of the paper is not noticeable on the other side.I would by it again and also recommend to others.  Excellent quality.","Reviewed in the United Kingdom on 12 September 2023","4.5 out of 5 stars"
"2","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Dropbear","I bought this because I usually get Black&Red but couldn't find one with squared paper. I'll be buying this brand from now on.","Reviewed in the United Kingdom on 11 December 2017","5.0 out of 5 stars"
"3","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Dr E Bliss","No complains, lovely notebook","Reviewed in the United Kingdom on 12 September 2023","3.0 out of 5 stars"
"4","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Neil","I picked this up because I get through a lot of A4 notepads in my day job and am always looking for good quality ones.This is a hardback cover notebook with an attractive laminate purple cover with a circular design.  The notepad also comes in white, orange, lime green, pink, blue and ice blue.  There are 80 pages (or 160 sides) and the pages are ruled but note that the ruled lines are framed within each page and do not run from edge to edge.  There's also a header box with space for a title and date, which does make it easier to organise notes but also cuts down on the amount of space you have to write in.The paper quality is good - I use rollerballs generally and there wasn't any leakage through the paper and the ivory white colour means that most ink colours show up on it.My only real criticism is that it's quite expensive for what it is - there are other providers out there doing decent quality pads for a quarter of what this costs.  As such, I can't say that I would rush to buy one on that basis but your needs may be different.","Reviewed in the United Kingdom on 14 December 2023","5.0 out of 5 stars"
"5","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Amazon Customer","Good value","Reviewed in the United Kingdom on 25 January 2024","5.0 out of 5 stars"
"6","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","I Read, Therefore I Blog","I really liked this notebook, I always have issues with loose pages that just fall out of notebooks but since this one has the plastic thing at the end I won't have that issue anymore. The paper is good quality and it even comes with a RULER! I don't know what I could use that for but it's cool that it has one.","Reviewed in the United Kingdom on 28 July 2017","5.0 out of 5 stars"
"7","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","lynn","Love the quality of the paper and the bindings and the plastic wallet at the back is really useful for keeping loose papers.What drops it down to 3 stars is that if you tear a page out the perforations don't work so you get a torn piece of paper.","Reviewed in the United Kingdom on 23 June 2023","4.0 out of 5 stars"
"8","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","ccb234","Great for taking notes.  Use it as a sort of work bullet journal and it has been perfect.  Will buy again when it’s used up","Reviewed in the United Kingdom on 25 September 2021","5.0 out of 5 stars"
"9","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Dropbear","Good quality note book. Pages are not too thin and handy having the perforated edge.","Reviewed in the United Kingdom on 11 December 2017","5.0 out of 5 stars"
"10","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","L. Coventry","As promised","Reviewed in the United Kingdom on 30 October 2021","3.0 out of 5 stars"
"11","Notebook","Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets","Dr E Bliss","The item is:  Leitz A4 Hard Covered Notebook, Squared, 90 gsm Ivory Paper, Solid Range, Black, 80 Sheets  item code 4664I feel compelled to review this item because my reading of some others’ reviews leads me to think that they were reviewing some other item.I needed a hard-backed A4 squared-ruled journal log-book; not too thick, and also robust enough to use daily without it becoming tatty.  This item, Leitz A4, 4664, bound pages – easily meets my need and is presentable; it looks good. For the price that I paid (£6.15) I was completely satisfied; it is easily worth the money.I like especially the grid-squared spacing (5 mm) and the paper quality (90 gsm) suits my fountain pen ink - so that there is no feathering. There is negligible soak-through of my fountain ink, so that my writing on one side of the paper is not noticeable on the other side.I would by it again and also recommend to others.  Excellent quality.","Reviewed in the United Kingdom on 12 September 2023","4.5 out of 5 stars"
